TITLE,ARTIST,LABEL,NO.,YR,ALBUM/CD TITLE,
1-A,Reactors,Cameo,446,66, ,
1-A,Sgt. Larry and the Souljers,Sgt. Larry…,CD,10,Bill The Undeclared War Opera,
2+2?,"Seger System, Bob",Capitol,2143,68, ,
2nd Vietnam,"Newman, Thomas",MCA,CD,94,The War S/T,
3 Day Pass,Front Line,Titan,201,6?, ,
3 Faces,"Walktendonk, Jim",Booney Tunes,CD,88,On The Mend,
3.16.68,My Lai,Divot,EP 007,97, ,
4:00 A.M. In Viet Nam,"Epps, Earle",Stoneway,1016,70, ,
4th Of July,Beach Boys,Capitol,CD,93,Good Vibrations: 30 Years of the Beach Boys ,
5th Day Of June,Dawn,Cadet,5644,69, ,
6 O'Clock News (America The Beautiful),"Hopeful, The",Mercury,72637,66, ,
7 O'Clock News (Silent Night),"Hopeful, The",Mercury,72637,66, ,
7 O'Clock News/Silent Night,Simon & Garfunkel,Columbia,2563,66,"Parsley, Sage, Rosemary & Thyme ",
8th Of November ,Big & Rich,WB,49496,5,Comin' To Your City/Next Stop is Vietnam,
8th Of November ,"Small, Britt & Festival",Festival,CD,6,For My Buddies,
9m14s Over Vietnam,"Tanaka, Anu",Digital Narcis,CD,99,End ID,
11 Bravo,Blind Albert,Vincent Gabriel,CD,5,11 Bravo Vietnam,
12 Days With Khrushchev,"Addiss, Steve & Crofut, Bill",Verve,LP 6-8519,63,Such Interesting People,
12 Months In Vietnam,"Sadler, SSGT Barry ??",RCA,,66, ,
17 Ans,"Ferrat, Jean",Barclay,80 413,70,,
19,"Hardcastle, Paul",Chrysalis,42680,85, ,
19 - (Destruction Mix),"Hardcastle, Paul",Chrysalis,22-2860,85,,
19 (The Final Story),"Hardcastle, Paul",Chrysalis,32-2860,85, ,
19 In Vietnam,"Kennedy, Pete",Rosewood,42,87, ,
19…What A Shame,"Lafferty, Sally & Anthony, Jon",Lafferty & Anthony,CD,99,Vietnam Remembered ,
21st Century Schizoid Man,King Crimson,Atlantic,LP 8245,69,In The Court of…. ,
25 Years,"Le, Phong Huy",,CD,0, ,
30-Plus Month Tour,"Jonas, Dick",Erosonic ,Album 5,97,Nickel On The Grass,
30 Years And On,Unknown Artist,,Cassette,3,Vietnam Anthology #2 ,
40 Years Ago,"Edwards, Francis",,CD,10,Angels Beyond the Abyss,
40 Years On,"McMahon, Shannon",Shannon McMahon,mp3,10,,
53rd & 3rd,Ramones,Sire,LP 7520,76,Ramones ,
"'68 Nixon (This Year's Model), The","Denver, Boise & Johnson",Reprise,695,68, ,
72 Mile March/Walk,"Warnke, Mike",M. Warnke,Cassette,86, ,
83,"Walktendonk, Jim",Booney Tunes,CD,88,On The Mend,
99 Vietnams,"Carleton, Denny",?,CD,6,Hello Cleveland,
100 Mann Und Ein Befehl [Ballad Of The Green Berets],Oberst Nicholson's Band,CBS  ,2301,66,,
160 VC In The Open,"Hughes, Toby",Erosonic ,Album 14,5,Fast and Low,
707 To Hell,"Kernoczy, Bill & Nolan, Terry",SLV,CD,99,Strange Land Vietnam,
1967,"Decker, Bill",,mp3,12,,
1967,"McLean, Don",Curb ,CD,91,Headroom ,
1968,Blind Albert,Vincent Gabriel,CD,5,11 Bravo Vietnam,
"1968 ""Tet Offensive""","Mahoney, Tinh",East Wind,CD,2,Acoustic Rain,
1969,Myka 9,,CD,9, ,
2061 Days,"Jonas, Dick",Erosonic ,Album 4,97,Swamp Fox,
9420 Wogan Terrace,"Lusk, Bob",,,,,
"10,000 Miles Away (Cambodia)","Reilly, John & Friends",Private Tape,Cass 707-1,,Poly Morph ,
"10,000 Tears","Juno, Nick",Howie Makem Records,Cassette,95, ,
"12,000 Miles Away","Jorgensen, Sgt. John Peter",Sgt. J.P. Jorgensen,CD,5,Vietnam: A Sublime Homecoming,
"41,000 Plus 4 (Ballad Of The Kent State Massacre)","Warrick, Ruth",Peace,146568,71, ,
"41,000 Plus 4 (Ballad...KS Massacre) Short Version","Warrick, Ruth",Peace,146568,71, ,
"50,000 Names","Jones, George",Collectables,CD,4,The Rock ,
"50,000 Names","O'Hara, Jamie",RCA,66297,94, ,
"50,000 Names In The Wall","Steer, John (Rev.)",,CD,,"Hard Fought, Blood Bought",
"58,000+",Vietnam Veteran Artists,Orange,No #,84, ,
"A Team, The","Sadler, SSGT Barry",RCA ,8804,66,Next Stop is Vietnam,
A Team Training,"Morrow, Don",Leo The Lion/MGM,CH-1029,66,The Green Berets - Their Story & Heritage,
A Un Hijo En Viet Nam,"Vazquez, Angel",Aladh,1003,,,
A.P.O. San Francisco,"Nighthawk, Jessie",Sacred Fire,CD 01,93,Next Stop is Vietnam,
A.P.O. Viet Nam,"Mack, Billy",Ambush,16691,6?, ,
A.P.O.W.,War Pigs,Super Seven,EP 226,89,Hit Bonanza,
Accordingly (I Learned Some Things Today),Linde-Antell Body of Music,Cadet,5611,68,,
Act Naturally,Homer & Jethro,RCA,47-8874,66,The Far-Out World of…,
Adjusting-In Memorium,"Black, Jayson",Chastity,3914,69, ,
Adolescent Vietcong,Pulsar,,,,Tunas Have A Polarity,
Advisory Team 54,"Gober, Hershel",BBC,CD,67,Hearts and Minds ,
Afscheid Van 'N Soldaat,"Valk, Ria",Fontana,266 213,61, ,
After My Buddies Got Killed In 'Nam,Supie T,Scat Records,CD,92,Hotel Cleveland Vol. III,
After The Raid/Alarm,"Rozsa, Miklos",WB,LP,68,The Green Berets S/T,
After The War,"Gross, Paul",?,CD,,Two Houses ,
After The War,"Irvine, Tim",,,7?,,
After The War,"Moore, Gary",,,, ,
After This Firefight,"Cantafio, Joe",Jackie Marx,Cassette,89,Private Tape,
Aftermath,"Butter Rebellion, The",,,, ,
Agent Orange,"Amos, Tori",Atlantic ,82862/mp3,96,Boys for Pele ,
Agent Orange,Crucial T.,Rat Cage,1,,,
Agent Orange  ,Depeche Mode,Sire,LP 25614,87,Music for the Masses ,
Agent Orange,Destructors,Carnage Benelux,Kill 666,84,"A Final Testament: Bomb Hanoi, Bomb Saigon…",
Agent Orange,"Seeger, Peggy",Folkways,LP 8563,82,From Where I Stand/Classic Protest Songs,
Agent Orange,Sodom,Steamhammer ,CD 7597,89,Agent Orange,
